system_id,predicted_prey,predicted_predator
300,"[0.5, 0.6, 0.7000000000000001, 0.8999999999999999, 1.2, 1.5, 1.9, 2.1, 2.0, 1.5, 1.0, 0.7000000000000001, 0.5, 0.5, 0.5, 0.6, 0.8, 1.0, 1.3, 1.7000000000000002, 2.0, 2.1, 1.9, 1.4000000000000001, 0.8999999999999999, 0.6, 0.5, 0.5, 0.5, 0.6, 0.7000000000000001, 0.8999999999999999, 1.2, 1.5, 1.9, 2.1, 2.0, 1.5, 1.0, 0.7000000000000001]","[0.5, 0.4, 0.3, 0.3, 0.3, 0.3, 0.4, 0.6, 0.8, 1.1, 1.1, 1.0, 0.8, 0.6, 0.5, 0.4, 0.3, 0.3, 0.3, 0.3, 0.5, 0.6, 0.8999999999999999, 1.1, 1.1, 0.8999999999999999, 0.8, 0.6, 0.5, 0.4, 0.3, 0.3, 0.3, 0.3, 0.4, 0.6, 0.8, 1.1, 1.1, 1.0]"
900,"[0.8999999999999999, 1.0, 1.0, 0.8999999999999999, 0.6, 0.4, 0.3, 0.2, 0.2, 0.1, 0.1, 0.1, 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.5, 0.6, 0.8, 0.8999999999999999, 1.0, 1.0, 0.8999999999999999, 0.6, 0.4, 0.3, 0.2, 0.2, 0.1, 0.1, 0.1, 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.5]","[0.8999999999999999, 0.8999999999999999, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8999999999999999, 0.8, 0.7000000000000001, 0.6, 0.5, 0.5, 0.4, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.4, 0.8999999999999999, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8999999999999999, 0.8, 0.7000000000000001, 0.6, 0.5, 0.5, 0.4, 0.3, 0.3, 0.3, 0.3, 0.3]"
814,"[0.8, 1.0, 1.2, 1.5, 1.7999999999999998, 2.1, 2.5, 2.8000000000000003, 2.8000000000000003, 2.4, 1.6, 0.8999999999999999, 0.5, 0.3, 0.3, 0.2, 0.2, 0.3, 0.3, 0.3, 0.4, 0.5, 0.6, 0.8, 1.0, 1.2, 1.5, 1.7999999999999998, 2.1, 2.5, 2.8000000000000003, 2.8000000000000003, 2.4, 1.6, 0.8999999999999999, 0.5, 0.3, 0.3, 0.2, 0.2]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.1, 0.2, 0.3, 0.6, 0.8999999999999999, 1.0, 0.8999999999999999, 0.6, 0.5, 0.3, 0.2, 0.2, 0.1, 0.1, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.1, 0.2, 0.3, 0.6, 0.8999999999999999, 1.0, 0.8999999999999999, 0.6, 0.5, 0.3, 0.2]"
584,"[1.5, 1.7000000000000002, 2.0, 2.0, 1.6, 1.0, 0.6, 0.4, 0.3, 0.3, 0.3, 0.3, 0.4, 0.5, 0.7000000000000001, 0.8999999999999999, 1.3, 1.6, 1.9, 2.0, 1.7000000000000002, 1.1, 0.6, 0.4, 0.3, 0.3, 0.3, 0.3, 0.4, 0.5, 0.7000000000000001, 0.8999999999999999, 1.2, 1.5, 1.7000000000000002, 2.0, 2.0, 1.6, 1.0, 0.6]","[0.2, 0.3, 0.4, 0.6, 0.8999999999999999, 1.1, 1.1, 0.8999999999999999, 0.7000000000000001, 0.5, 0.4, 0.3, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.4, 0.6, 0.8999999999999999, 1.1, 1.1, 0.8999999999999999, 0.7000000000000001, 0.6, 0.4, 0.3, 0.3, 0.2, 0.2, 0.2, 0.2, 0.2, 0.3, 0.4, 0.6, 0.8999999999999999, 1.1, 1.1]"
900,"[0.8999999999999999, 1.0, 1.0, 0.8999999999999999, 0.6, 0.4, 0.3, 0.2, 0.2, 0.1, 0.1, 0.1, 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.5, 0.6, 0.8, 0.8999999999999999, 1.0, 1.0, 0.8999999999999999, 0.6, 0.4, 0.3, 0.2, 0.2, 0.1, 0.1, 0.1, 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.5]","[0.8999999999999999, 0.8999999999999999, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8999999999999999, 0.8, 0.7000000000000001, 0.6, 0.5, 0.5, 0.4, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.4, 0.8999999999999999, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8999999999999999, 0.8, 0.7000000000000001, 0.6, 0.5, 0.5, 0.4, 0.3, 0.3, 0.3, 0.3, 0.3]"
884,"[0.5, 0.6, 0.8, 1.0, 1.1, 1.0, 0.8, 0.6, 0.3, 0.2, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.2, 0.2, 0.3, 0.4, 0.5, 0.6, 0.8, 1.0, 1.1, 1.0, 0.8, 0.6, 0.3, 0.2, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]","[0.2, 0.2, 0.3, 0.3, 0.5, 0.7000000000000001, 0.8999999999999999, 1.1, 1.1, 1.0, 0.8999999999999999, 0.8, 0.7000000000000001, 0.5, 0.5, 0.4, 0.3, 0.3, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.3, 0.3, 0.5, 0.7000000000000001, 0.8999999999999999, 1.1, 1.1, 1.0, 0.8999999999999999, 0.8, 0.7000000000000001, 0.5, 0.5, 0.4, 0.3, 0.3]"
869,"[1.1, 0.8999999999999999, 0.7000000000000001, 0.6, 0.5, 0.4, 0.4, 0.3, 0.3, 0.4, 0.4, 0.5, 0.6, 0.7000000000000001, 0.8, 0.8999999999999999, 1.0, 1.1, 1.1, 1.1, 0.8999999999999999, 0.7000000000000001, 0.6, 0.5, 0.4, 0.4, 0.3, 0.3, 0.4, 0.4, 0.5, 0.6, 0.7000000000000001, 0.8, 0.8999999999999999, 1.0, 1.1, 1.1, 1.1, 0.8999999999999999]","[0.7000000000000001, 0.8, 0.8999999999999999, 0.8999999999999999, 0.8, 0.8, 0.7000000000000001, 0.6, 0.5, 0.5, 0.4, 0.3, 0.3, 0.3, 0.3, 0.4, 0.4, 0.5, 0.6, 0.7000000000000001, 0.8, 0.8999999999999999, 0.8999999999999999, 0.8, 0.8, 0.7000000000000001, 0.6, 0.5, 0.5, 0.4, 0.3, 0.3, 0.3, 0.3, 0.4, 0.4, 0.5, 0.6, 0.7000000000000001, 0.8]"
516,"[1.3, 1.7000000000000002, 2.1, 2.5, 3.1, 3.5999999999999996, 4.2, 4.699999999999999, 5.1, 5.2, 4.9, 4.0, 2.7, 1.6, 0.8999999999999999, 0.6, 0.5, 0.4, 0.4, 0.5, 0.5, 0.6, 0.8, 1.0, 1.2, 1.4000000000000001, 1.7999999999999998, 2.2, 2.6, 3.1, 3.5999999999999996, 4.1, 4.4, 4.6000000000000005, 4.4, 3.7, 2.8000000000000003, 1.9, 1.2, 0.8]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.2, 0.5, 0.8, 1.1, 1.1, 1.0, 0.8, 0.6, 0.4, 0.3, 0.2, 0.2, 0.1, 0.1, 0.1, 0.1, 0.1, 0.0, 0.1, 0.1, 0.1, 0.1, 0.1, 0.2, 0.3, 0.5, 0.7000000000000001, 0.8999999999999999, 1.0, 0.8999999999999999, 0.8]"
560,"[1.3, 1.3, 1.5, 1.7000000000000002, 2.1, 2.5, 3.1, 3.5999999999999996, 4.2, 4.699999999999999, 5.0, 5.0, 4.8, 4.2, 3.5, 2.7, 2.1, 1.7000000000000002, 1.5, 1.4000000000000001, 1.3, 1.3, 1.5, 1.7000000000000002, 2.1, 2.5, 3.1, 3.5999999999999996, 4.2, 4.699999999999999, 5.0, 5.0, 4.8, 4.2, 3.5, 2.7, 2.1, 1.7000000000000002, 1.5, 1.4000000000000001]","[0.5, 0.4, 0.4, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.4, 0.5, 0.6, 0.8, 0.8999999999999999, 1.0, 1.1, 1.0, 0.8999999999999999, 0.8, 0.6, 0.5, 0.4, 0.4, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.4, 0.5, 0.6, 0.8, 0.8999999999999999, 1.0, 1.1, 1.0, 0.8999999999999999, 0.8, 0.6]"
573,"[1.0, 1.1, 1.3, 1.5, 1.6, 1.7000000000000002, 1.7999999999999998, 1.7000000000000002, 1.5, 1.3, 1.0, 0.8, 0.7000000000000001, 0.6, 0.5, 0.5, 0.4, 0.5, 0.5, 0.6, 0.7000000000000001, 0.8, 0.8999999999999999, 1.0, 1.1, 1.3, 1.5, 1.6, 1.7000000000000002, 1.7999999999999998, 1.7000000000000002, 1.5, 1.3, 1.0, 0.8, 0.7000000000000001, 0.6, 0.5, 0.5, 0.4]","[0.3, 0.3, 0.3, 0.4, 0.4, 0.5, 0.6, 0.8, 0.8999999999999999, 1.0, 1.0, 1.0, 0.8999999999999999, 0.8999999999999999, 0.8, 0.7000000000000001, 0.6, 0.5, 0.4, 0.4, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.4, 0.4, 0.5, 0.6, 0.8, 0.8999999999999999, 1.0, 1.0, 1.0, 0.8999999999999999, 0.8999999999999999, 0.8, 0.7000000000000001, 0.6]"
